id;necesidad_;idruta;pais;clave;longitud;latitud
5;"Protección, asesoría y regularización";A1;ECU;"Protección, asesoría y regularización";-78.06623;0.370075
4;Medios de vida e integración;A1;ECU;Medios de vida e integración;-78.06623;0.420075
6;Salud;A1;ECU;Salud;-78.06623;0.320075
1;"Agua, saneamiento e higiene";A1;ECU;"Agua, saneamiento e higiene";-78.11623;0.420075
3;Alojamiento;A1;ECU;Alojamiento;-78.11623;0.320075
2;Alimentos;A1;ECU;Alimentos;-78.11623;0.370075
7;"Agua, saneamiento e higiene";A1;ECU;"Agua, saneamiento e higiene";-77.873211;0.772694
8;Alimentos;A1;ECU;Alimentos;-77.873211;0.722694
9;Alojamiento;A1;ECU;Alojamiento;-77.823211;0.772694
10;Artículos no alimentarios;A1;ECU;Artículos no alimentarios;-77.823211;0.722694
11;Medios de vida e integración;A1;ECU;Medios de vida e integración;-77.773211;0.772694
12;"Protección, asesoría y regularización";A1;ECU;"Protección, asesoría y regularización";-77.773211;0.722694
13;Salud;A1;ECU;Salud;-77.723211;0.772694
14;Transporte;A1;ECU;Transporte;-77.723211;0.722694
20;"Protección, asesoría y regularización";A2;ECU;"Protección, asesoría y regularización";-78.451223;-0.175188
19;Medios de vida e integración;A2;ECU;Medios de vida e integración;-78.451223;-0.125188
18;Artículos no alimentarios;A2;ECU;Artículos no alimentarios;-78.451223;-0.075188
22;Transporte;A2;ECU;Transporte;-78.401223;-0.125188
21;Salud;A2;ECU;Salud;-78.401223;-0.075188
17;Alojamiento;A2;ECU;Alojamiento;-78.501223;-0.175188
16;Alimentos;A2;ECU;Alimentos;-78.501223;-0.125188
15;"Agua, saneamiento e higiene";A2;ECU;"Agua, saneamiento e higiene";-78.501223;-0.075188
25;"Protección, asesoría y regularización";A3;ECU;"Protección, asesoría y regularización";-79.137228;-0.223958
24;Artículos no alimentarios;A3;ECU;Artículos no alimentarios;-79.187228;-0.273958
23;Alimentos;A3;ECU;Alimentos;-79.187228;-0.223958
26;Transporte;A3;ECU;Transporte;-79.137228;-0.273958
27;Artículos no alimentarios;A4;ECU;Artículos no alimentarios;-80.756888;-0.975716
28;Alojamiento;A4;ECU;Alojamiento;-80.806888;-1.025716
29;Alimentos;A4;ECU;Alimentos;-80.806888;-0.975716
30;Salud;A4;ECU;Salud;-80.756888;-1.025716
31;Medios de vida e integración;B1;ECU;Medios de vida e integración;-79.796135;-3.014469
32;Artículos no alimentarios;B1;ECU;Artículos no alimentarios;-79.796135;-2.964469
33;Salud;B1;ECU;Salud;-79.746135;-3.014469
34;"Protección, asesoría y regularización";B1;ECU;"Protección, asesoría y regularización";-79.746135;-2.964469
35;Alimentos;B1;ECU;Alimentos;-79.846135;-3.014469
36;Alojamiento;B1;ECU;Alojamiento;-79.846135;-2.964469
37;"Protección, asesoría y regularización";B1;ECU;"Protección, asesoría y regularización";-80.177953;-3.487468
38;Alojamiento;B1;ECU;Alojamiento;-80.177953;-3.437468
39;Salud;B1;ECU;Salud;-80.127953;-3.487468
40;Transporte;B1;ECU;Transporte;-80.127953;-3.437468
41;"Agua, saneamiento e higiene";B1;ECU;"Agua, saneamiento e higiene";-80.227953;-3.487468
42;Alimentos;B1;ECU;Alimentos;-80.227953;-3.437468
43;"Protección, asesoría y regularización";B1;ECU;"Protección, asesoría y regularización";-79.950151;-3.33816
44;Salud;B1;ECU;Salud;-79.950151;-3.28816
46;Medios de vida e integración;B2;ECU;Medios de vida e integración;-80.012688;-2.21664
47;Artículos no alimentarios;B2;ECU;Artículos no alimentarios;-80.012688;-2.16664
48;Salud;B2;ECU;Salud;-79.962688;-2.21664
49;"Protección, asesoría y regularización";B2;ECU;"Protección, asesoría y regularización";-79.962688;-2.16664
50;Alimentos;B2;ECU;Alimentos;-80.062688;-2.21664
51;Alojamiento;B2;ECU;Alojamiento;-80.062688;-2.16664
